kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
6311520,K04115.01,,FALSE POSITIVE,0,0,1,0,0,0.941840589,131.80464,0,,1.198,5.06,,388.3,0.216872,0.04096,LS+MCMC,27.05,0.0189,15.52,2200,5547.35,1.243,6419,4.33,-0.4,1.142,1.013,,13.956
3955817,K04117.01,Kepler-1553 b,CONFIRMED,1,0,0,0,0,4.24263096,135.0304,0,,0.201,2.582,,187.6,0.012243,2.03642,LS+MCMC,1.1,0.0481,89.08,926,174.24,12.47,5072,4.521,0.14,0.825,0.822,,14.955
3942670,K00392.02,Kepler-147 b,CONFIRMED,0.993,0,0,0,0,12.6119685,138.1189,0,,0.709,6.372,,76.5,0.008559,0.15315,LS+MCMC,1.33,0.1098,86.26,953,194.9,10.88,6007,4.178,0.07,1.42,1.108,,13.954
10661778,K04118.01,,FALSE POSITIVE,0,1,0,0,1,1.231363214,131.80615,0,,0.969,5.8101,,4774.7,0.098455,0.02853,LS+MCMC,10.75,0.0225,42.62,1699,1973.12,1.317,5780,4.438,0,1,1,,17.661
2989706,K02692.01,,FALSE POSITIVE,0,0,1,0,0,1.257689465,132.503649,0,,0.197,0.8399,,945.6,0.028494,18.49542,LS+MCMC,2.45,0.0215,89.02,1513,1244.66,11.564,5676,4.571,-0.4,0.787,0.84,,15.522
5185897,K02693.01,Kepler-398 b,CONFIRMED,0.998,0,0,0,0,4.081411554,133.85992,0,,0.876,2.3239,,171.9,0.014433,0.37842,LS+MCMC,1,0.0438,82.74,755,77,6.93,4498,4.661,-0.08,0.635,0.698,,13.256
5185897,K02693.02,Kepler-398 c,CONFIRMED,0.988,0,0,0,0,11.41941928,142.11859,0,,0.918,3.3075,,150.5,0.014247,0.21529,LS+MCMC,0.99,0.0871,85.38,536,19.47,11.41,4498,4.661,-0.08,0.635,0.698,,13.256
5185897,K02693.03,Kepler-398 d,CONFIRMED,0.992,0,0,0,0,6.83440674,136.86023,0,,0.871,2.2726,,177.1,0.014584,0.69723,LS+MCMC,1.01,0.0618,85.83,636,38.68,11.99,4498,4.661,-0.08,0.635,0.698,,13.256
9475552,K02694.01,Kepler-1315 b,CONFIRMED,1,0,0,0,0,0.843379985,131.966174,0,,0.696,1.4474,,343.3,0.01815,1.05377,LS+MCMC,1.7,0.0163,78.23,1541,1329.99,3.41,4818,4.481,0.56,0.856,0.809,,14.975
9475552,K02694.02,Kepler-1315 c,CONFIRMED,1,0,0,0,0,6.56606941,134.49512,0,,0.687,1.8455,,402.4,0.019524,3.77376,LS+MCMC,1.83,0.064,88.08,777,86.27,20.49,4818,4.481,0.56,0.856,0.809,,14.975
5695396,K00283.01,Kepler-131 b,CONFIRMED,0.976,0,0,0,0,16.09196369,170.598832,0,,0.546,2.8943,,415.8,0.019184,3.56698,LS+MCMC,2.13,0.1238,89.14,718,62.74,36.55,5680,4.414,0.12,1.016,0.978,,11.525
9692128,K02769.01,,FALSE POSITIVE,0,0,1,0,1,1.480323978,131.7553,0,,0.617,1.833,,166.2,0.012369,1.08736,LS+MCMC,1.46,0.0249,82.93,1743,2180.25,5.01,5996,4.342,-0.28,1.081,0.936,,13.66
10917043,K02770.01,,CANDIDATE,1,0,0,0,0,205.385912,284.18824,0,,0.008,8.681,,1248.7,0.030926,2.90062,LS+MCMC,2.11,0.5898,90,200,0.38,186.32,4400,4.659,-0.2,0.624,0.646,,15.558
